ITEM CODE,SALE PRICE,,,,,,,,,,,,,,,,,,,,
00200166,3132,,,,,,,,,,,,,,,,,,,,
00200285,1390,,,,,,,,,,,,,,,,,,,,
00201054,3536,,,,,,,,,,,,,,,,,,,,
00201078,3700,,,,,,,,,,,,,,,,,,,,
00201154,2500,,,,,,,,,,,,,,,,,,,,
00201163,3200,,,,,,,,,,,,,,,,,,,,
00201221,15538,,,,,,,,,,,,,,,,,,,,
00201542,6500,,,,,,,,,,,,,,,,,,,,
00201793,3908,,,,,,,,,,,,,,,,,,,,
00201832,1636,,,,,,,,,,,,,,,,,,,,
00201935,1822,,,,,,,,,,,,,,,,,,,,
00202086,2850,,,,,,,,,,,,,,,,,,,,
00202202,2175,,,,,,,,,,,,,,,,,,,,
00202245,3695,,,,,,,,,,,,,,,,,,,,
00202272,2877,,,,,,,,,,,,,,,,,,,,
00202396,3726,,,,,,,,,,,,,,,,,,,,
00203438,5962,,,,,,,,,,,,,,,,,,,,
00203452,4100,,,,,,,,,,,,,,,,,,,,
00203500,2029,,,,,,,,,,,,,,,,,,,,
00204340,1700,,,,,,,,,,,,,,,,,,,,
00204342,3600,,,,,,,,,,,,,,,,,,,,
00204565,1693,,,,,,,,,,,,,,,,,,,,
00204663,2070,,,,,,,,,,,,,,,,,,,,
00204774,4850,,,,,,,,,,,,,,,,,,,,
00205069,6301,,,,,,,,,,,,,,,,,,,,
00205073,3900,,,,,,,,,,,,,,,,,,,,
00206787,7800,,,,,,,,,,,,,,,,,,,,
00207334,3007,,,,,,,,,,,,,,,,,,,,
00207829,3042,,,,,,,,,,,,,,,,,,,,
00208662,4385,,,,,,,,,,,,,,,,,,,,
00209116,2485,,,,,,,,,,,,,,,,,,,,
00209250,2280,,,,,,,,,,,,,,,,,,,,
00209999,205,,,,,,,,,,,,,,,,,,,,
00210777,2600,,,,,,,,,,,,,,,,,,,,
00211422,10628,,,,,,,,,,,,,,,,,,,,
00211810,5269,,,,,,,,,,,,,,,,,,,,
00211812,5247,,,,,,,,,,,,,,,,,,,,
00211816,5184,,,,,,,,,,,,,,,,,,,,
00211941,1479,,,,,,,,,,,,,,,,,,,,
00211990,4192,,,,,,,,,,,,,,,,,,,,
00212078,1977,,,,,,,,,,,,,,,,,,,,
00212101,7900,,,,,,,,,,,,,,,,,,,,
00212441,12545,,,,,,,,,,,,,,,,,,,,
00212735,2310,,,,,,,,,,,,,,,,,,,,
00212744,2310,,,,,,,,,,,,,,,,,,,,
00213336,2280,,,,,,,,,,,,,,,,,,,,
00213626,880,,,,,,,,,,,,,,,,,,,,
00213689,1492,,,,,,,,,,,,,,,,,,,,
00213933,993,,,,,,,,,,,,,,,,,,,,
00214043,7202,,,,,,,,,,,,,,,,,,,,
00214140,950,,,,,,,,,,,,,,,,,,,,
00214143,950,,,,,,,,,,,,,,,,,,,,
00214145,950,,,,,,,,,,,,,,,,,,,,
00214146,950,,,,,,,,,,,,,,,,,,,,
00214148,950,,,,,,,,,,,,,,,,,,,,
00214149,1050,,,,,,,,,,,,,,,,,,,,
00214151,1350,,,,,,,,,,,,,,,,,,,,
00214155,1250,,,,,,,,,,,,,,,,,,,,
00214156,1250,,,,,,,,,,,,,,,,,,,,
00214159,1250,,,,,,,,,,,,,,,,,,,,
00214162,1150,,,,,,,,,,,,,,,,,,,,
00215145,1050,,,,,,,,,,,,,,,,,,,,
00215150,1050,,,,,,,,,,,,,,,,,,,,
00215152,1050,,,,,,,,,,,,,,,,,,,,
00215153,1150,,,,,,,,,,,,,,,,,,,,
00215309,246,,,,,,,,,,,,,,,,,,,,
00215321,13027,,,,,,,,,,,,,,,,,,,,
00215527,1852,,,,,,,,,,,,,,,,,,,,
00216554,2230,,,,,,,,,,,,,,,,,,,,
00216919,724,,,,,,,,,,,,,,,,,,,,
00216996,1007,,,,,,,,,,,,,,,,,,,,
00217006,881,,,,,,,,,,,,,,,,,,,,
00217013,912,,,,,,,,,,,,,,,,,,,,
00217027,1662,,,,,,,,,,,,,,,,,,,,
00219184,5735,,,,,,,,,,,,,,,,,,,,
00219224,5350,,,,,,,,,,,,,,,,,,,,
00219647,697,,,,,,,,,,,,,,,,,,,,
